"oldRecordId","attachmentList"
1482250000004503556,1482250000007917279
1482250000004503567,1482250000008374204
1482250000004503568,1482250000007917226
1482250000004503578,1482250000006891269-1482250000006891172-1482250000006872306-1482250000006872290
1482250000004503580,1482250000007997067
1482250000000719061,1482250000007150028
1482250000004503607,1482250000007065237
1482250000004503609,1482250000006721252
1482250000000850107,1482250000006401019
1482250000047294001,1482250000047294012
1482250000009452026,1482250000009452032
1482250000009452001,1482250000009452007
1482250000009452013,1482250000009452019
1482250000000588163,1482250000006421086-1482250000006421074
1482250000000490111,1482250000005789030
1482250000000490097,1482250000006779167
1482250000002112001,1482250000008300001
1482250000014433095,1482250000006675196-1482250000006675178
1482250000035448011,1482250000038434004
1482250000035448001,1482250000035527005
1482250000009452080,1482250000009452086
1482250000009452059,1482250000009452065
1482250000006110027,1482250000006110032
1482250000026689001,1482250000026747007
1482250000057222004,1482250000059789091
1482250000004504960,1482250000006721728
1482250000004504962,1482250000006127052
1482250000004504979,1482250000006263248
1482250000004504981,1482250000007902443
1482250000004504983,1482250000007479316
1482250000004504984,1482250000006123053
1482250000004504988,1482250000006263193
1482250000004504989,1482250000006263150
1482250000004505002,1482250000006207133
1482250000004505006,1482250000005949145
1482250000000409029,1482250000007917058
1482250000004504862,1482250000007150167
1482250000004504879,1482250000007132503
1482250000004504885,1482250000007501283
1482250000004504886,1482250000006872044
1482250000004504887,1482250000006770073
1482250000004504888,1482250000006872192
1482250000004504889,1482250000006872238
1482250000004504904,1482250000005758325
1482250000004504922,1482250000005826371
1482250000000409015,1482250000007093150-1482250000007093144
1482250000004504954,1482250000006721307
1482250000004504955,1482250000006721423
1482250000004504956,1482250000006721487-1482250000006721481
1482250000004504957,1482250000006721539
1482250000000737001,1482250000006721637
1482250000012022031,1482250000012022037
1482250000012022019,1482250000012022025
1482250000005386486,1482250000006891444
1482250000000602123,1482250000005758041
1482250000020722012,1482250000021135021
1482250000008352001,1482250000008352007
1482250000007942423,1482250000005758111
1482250000012022001,1482250000012022007
1482250000004502144,1482250000009367054
1482250000004502156,1482250000008089039
1482250000004502175,1482250000005758522
1482250000004502183,1482250000008028010
1482250000004502191,1482250000007556282
1482250000012039001,1482250000012039010
1482250000004502216,1482250000006721206
1482250000004502223,1482250000055734001-1482250000006872093
1482250000004502032,1482250000005949080
1482250000004502034,1482250000006622104
1482250000004502038,1482250000008037076
1482250000004502043,1482250000006401558
1482250000004502062,1482250000007479244
1482250000004502063,1482250000006579301
1482250000004502069,1482250000031278019
1482250000004502073,1482250000006788012
1482250000004502079,1482250000005852036
1482250000004502085,1482250000006127031
1482250000004502087,1482250000005743355
1482250000004502107,1482250000005743328
1482250000004502109,1482250000007556569
1482250000004502117,1482250000055313001-1482250000007093045
1482250000004502118,1482250000007093117
1482250000004502121,1482250000007093245
1482250000004502123,1482250000007132050
1482250000004502136,1482250000007132561
1482250000000341067,1482250000007479192
1482250000000341087,1482250000005789105
1482250000000341157,1482250000006701068
1482250000001636003,1482250000041466021
1482250000004503431,1482250000006127205
1482250000004503432,1482250000009297108
1482250000004503435,1482250000007132135
1482250000004503459,1482250000007132184
1482250000004503463,1482250000005743111
1482250000004503484,1482250000006622152
1482250000004503485,1482250000006622201
1482250000004503486,1482250000006622295
1482250000004503488,1482250000006622341
1482250000004503491,1482250000006622457
1482250000003586001,1482250000006701220
1482250000004503513,1482250000007132239
1482250000004503514,1482250000007132307
1482250000004503518,1482250000006891218
1482250000004503523,1482250000005949179
1482250000004503524,1482250000005949238
1482250000004503526,1482250000005949280
1482250000004503529,1482250000006263448
1482250000004503530,1482250000006263402
1482250000003926233,1482250000005837222
1482250000004516034,1482250000006174117
1482250000004516045,1482250000006747283
1482250000004516049,1482250000005758028
1482250000004516060,1482250000007556353-1482250000007556343
1482250000004516066,1482250000006891105
1482250000004516068,1482250000005826488
1482250000011217049,1482250000021801004
1482250000000567579,1482250000018530011-1482250000007917017
1482250000053098001,1482250000053098015
1482250000004516099,1482250000006127193-1482250000006127166-1482250000006127148
1482250000004516104,1482250000006054351
1482250000019278055,1482250000019278087
1482250000004516106,1482250000006721166
1482250000004516108,1482250000006421172
1482250000004516116,1482250000007280535
1482250000004516117,1482250000006263302
1482250000004516118,1482250000005837061
1482250000004516129,1482250000007132662
1482250000004516147,1482250000005949666
1482250000004516165,1482250000007280486
1482250000004516167,1482250000006127079
1482250000000666011,1482250000005758370
1482250000004516177,1482250000006207638
1482250000004516178,1482250000006207531
1482250000004516180,1482250000006375097
1482250000004516181,1482250000006207414
1482250000004516182,1482250000006207362
1482250000004516183,1482250000006207316
1482250000004516185,1482250000007280078
1482250000004516186,1482250000006207267
1482250000004516187,1482250000006207215
1482250000004516188,1482250000007280141
1482250000004516189,1482250000007280434
1482250000004516191,1482250000007280339
1482250000000666025,1482250000007556448
1482250000004516197,1482250000007280293
1482250000004516198,1482250000007280202
1482250000004516203,1482250000006077055
1482250000004516209,1482250000006077127
1482250000004516210,1482250000005849047
1482250000001567344,1482250000005743050
1482250000017542001,1482250000017542007
1482250000000338449,1482250000006401643-1482250000006401637
1482250000003779092,1482250000005925074
1482250000000338645,1482250000055734007-1482250000005826112
1482250000009874001,1482250000009874007
1482250000017542043,1482250000017542049
1482250000020360013,1482250000020503001
1482250000000338795,1482250000005826456
1482250000000338735,1482250000007065188
1482250000000519111,1482250000005949437
1482250000000338827,1482250000005555131
1482250000000338849,1482250000018828010
1482250000004500638,1482250000006635149
1482250000000371815,1482250000007556599
1482250000004500650,1482250000006254038
1482250000004500653,1482250000006579234
1482250000004500674,1482250000005899059
1482250000004500678,1482250000005906032-1482250000005906027
1482250000000371719,1482250000007132342
1482250000004500680,1482250000007993075
1482250000004500683,1482250000007993043
1482250000004500692,1482250000008755371
1482250000000338967,1482250000006153186
1482250000004500705,1482250000007479021
1482250000004500708,1482250000006948074
1482250000004500714,1482250000007065044
1482250000003583031,1482250000007556238
1482250000009367001,1482250000009367007
1482250000004500740,1482250000006401329
1482250000004500750,1482250000006675117
1482250000004500758,1482250000005816097-1482250000005816095
1482250000004500796,1482250000005758443
1482250000004500801,1482250000006401197
1482250000004500805,1482250000005743317
1482250000004500806,1482250000006207087
1482250000004500808,1482250000006207044
1482250000004500810,1482250000006781044
1482250000004500811,1482250000007479125
1482250000004500816,1482250000005758258
1482250000006123173,1482250000006123178
1482250000004517509,1482250000007902244
1482250000009367294,1482250000009367300
1482250000004517531,1482250000007556651
1482250000009367273,1482250000009367282
1482250000004517536,1482250000005837182
1482250000004517538,1482250000005816112
1482250000009367258,1482250000009367264
1482250000004517550,1482250000007902536
1482250000004517557,1482250000005933053
1482250000009367246,1482250000009367252
1482250000004517561,1482250000005933130
1482250000004517563,1482250000006401412
1482250000004517568,1482250000008089098
1482250000004517573,1482250000006375140
1482250000004517574,1482250000006174215
1482250000004517575,1482250000006174267
1482250000009367225,1482250000009367234
1482250000004517585,1482250000008089191
1482250000009367210,1482250000009367219
1482250000004517599,1482250000006794047
1482250000004517603,1482250000006788124
1482250000004517604,1482250000006788080
1482250000009367186,1482250000009367192
1482250000009367198,1482250000009367204
1482250000004517611,1482250000006929086
1482250000009367174,1482250000009367180
1482250000004517622,1482250000005816131
